pays,zip,city,id
FR,01480,VILLENEUVE,dom_cities_409
FR,01250,VILLEREVERSURE,dom_cities_410
FR,01200,VILLES,dom_cities_411
FR,01320,VILLETTE SURAIN,dom_cities_412
FR,01800,VILLIEU LOYESMOLLON,dom_cities_413
FR,01440,VIRIAT,dom_cities_414
FR,01510,VIRIEU LE GRAND,dom_cities_415
FR,01260,VIRIEU LE PETIT,dom_cities_416
FR,01300,VIRIGNIN,dom_cities_417
FR,01350,VONGNES,dom_cities_418
FR,01540,VONNAS,dom_cities_419
FR,02300,ABBECOURT,dom_cities_420
FR,02800,ACHERY,dom_cities_421
FR,02200,ACY,dom_cities_422
FR,02340,AGNICOURT ETSECHELLES,dom_cities_423
FR,02190,AGUILCOURT,dom_cities_424
FR,02110,AISONVILLE ETBERNOVILLE,dom_cities_425
FR,02820,AIZELLES,dom_cities_426
FR,02370,AIZY JOUY,dom_cities_427
FR,02240,ALAINCOURT,dom_cities_428
FR,02320,ALLEMANT,dom_cities_429
FR,02290,AMBLENY,dom_cities_430
FR,02200,AMBRIEF,dom_cities_431
FR,02190,AMIFONTAINE,dom_cities_432
FR,02700,AMIGNY ROUY,dom_cities_433
FR,02600,ANCIENVILLE,dom_cities_434
FR,02800,ANDELAIN,dom_cities_435
FR,02800,ANGUILCOURT LE SART,dom_cities_436
FR,02320,ANIZY LE CHATEAU,dom_cities_437
FR,02480,ANNOIS,dom_cities_438
FR,02500,ANY MARTIN RIEUX,dom_cities_439
FR,02360,ARCHON,dom_cities_440
FR,02130,ARCY STE RESTITUE,dom_cities_441
FR,02210,ARMENTIERES SUR OURCQ,dom_cities_442
FR,02860,ARRANCY,dom_cities_443
FR,02480,ARTEMPS,dom_cities_444
FR,02330,ARTONGES,dom_cities_445
FR,02270,ASSIS SUR SERRE,dom_cities_446
FR,02840,ATHIES SOUS LAON,dom_cities_447
FR,02490,ATTILLY,dom_cities_448
FR,02420,AUBENCHEUL AUX BOIS,dom_cities_449
FR,02500,AUBENTON,dom_cities_450
FR,02590,AUBIGNY AUX KAISNES,dom_cities_451
FR,02820,AUBIGNY EN LAONNOIS,dom_cities_452
FR,02300,AUDIGNICOURT,dom_cities_453
FR,02120,AUDIGNY,dom_cities_454
FR,02220,AUGY,dom_cities_455
FR,02000,AULNOIS SOUSLAON,dom_cities_456
FR,02360,AUTELS LES,dom_cities_457
FR,02250,AUTREMENCOURT,dom_cities_458
FR,02580,AUTREPPES,dom_cities_459
FR,02300,AUTREVILLE,dom_cities_460
FR,02400,AZY SUR MARNE,dom_cities_461
FR,02290,BAGNEUX,dom_cities_462
FR,02140,BANCIGNY,dom_cities_463
FR,02000,BARENTON BUGNY,dom_cities_464
FR,02000,BARENTON CEL,dom_cities_465
FR,02270,BARENTON SURSERRE,dom_cities_466
FR,02700,BARISIS,dom_cities_467
FR,02170,BARZY EN THIERACHE,dom_cities_468
FR,02850,BARZY SUR MARNE,dom_cities_469
FR,02380,BASSOLES AULERS,dom_cities_470
FR,02330,BAULNE EN BRIE,dom_cities_471
FR,02220,BAZOCHES SURVESLES,dom_cities_472
FR,02500,BEAUME,dom_cities_473
FR,02300,BEAUMONT EN BEINE,dom_cities_474
FR,02110,BEAUREVOIR,dom_cities_475
FR,02160,BEAURIEUX,dom_cities_476
FR,02800,BEAUTOR,dom_cities_477
FR,02590,BEAUVOIS EN VERMANDOIS,dom_cities_478
FR,02110,BECQUIGNY,dom_cities_479
FR,02400,BELLEAU,dom_cities_480
FR,02420,BELLENGLISE,dom_cities_481
FR,02200,BELLEU,dom_cities_482
FR,02420,BELLICOURT,dom_cities_483
FR,02440,BENAY,dom_cities_484
FR,02450,BERGUES SUR SAMBRE,dom_cities_485
FR,02250,BERLANCOURT,dom_cities_486
FR,02340,BERLISE,dom_cities_487
FR,02120,BERNOT,dom_cities_488
